timestamp,cpu_mean,cpu_std,cpu_min,cpu_max,cpu_trend,cpu_growth_rate,memory_mean,memory_std,memory_trend,memory_growth_rate,heap_trend,heap_growth_rate,stack_trend,stack_growth_rate,latency_mean,latency_max,latency_trend,latency_growth_rate,task_delay_trend,deadline_miss_rate,deadline_trend,queue_trend,queue_growth_rate,cpu_health_score,memory_health_score,stack_health_score,task_health_score,timing_health_score,ai_health_score,resource_health_score,overall_health_score,health_state,cpu_overload_flag,memory_leak_flag,heap_exhaustion_flag,stack_risk_flag,deadline_miss_flag,task_starvation_flag,ai_latency_flag,queue_overflow_flag,fault_type,fault_severity,fault_count,degradation_index,degradation_rate,health_change_rate
2026-09-01 10:00:00,30.782,1.9309,25.2718,36.6783,-0.0271,0.0271,37.1502,1.4034,0.031,0.0113,-0.0166,0.0148,0.082,0.026,49.0249,53.8756,0.0595,0.0439,0.1072,0.0108,0.0222,0.0517,-0.0076,96.4374,97.8976,98.1786,96.3429,97.1248,94.7364,98.2458,95.9795,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0487,0.0213,-0.2758
2026-09-01 10:01:00,29.0472,2.2572,23.1129,35.433,0.1085,-0.0082,36.91,1.8284,0.0369,0.0085,-0.014,0.0254,0.0576,0.0201,49.3768,53.6253,0.0651,0.0137,0.0133,0.0162,0.0128,0.1216,0.001,95.4991,98.4998,99.251,97.7485,98.1315,97.3063,97.1361,96.4593,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0274,0.0787,-0.1736
2026-09-01 10:02:00,31.7371,2.0302,26.0978,37.7823,0.2041,0.0351,37.2615,1.5895,0.0152,0.0049,-0.0652,0.0296,0.0142,0.0157,50.775,55.63,0.1101,-0.0057,-0.0106,0.0036,0.0446,0.0792,0.0143,97.1982,97.3377,98.3924,97.9258,96.8391,92.5163,98.3428,97.0104,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0483,0.0602,0
2026-09-01 10:03:00,34.2094,1.9251,28.7067,40.097,0.0516,0.0535,34.6445,1.7989,0.0839,0.0289,-0.1401,0.0239,0.0562,0.0074,47.0509,50.3949,0.2165,0.0088,0.0182,0.0266,0.0071,0.0149,0.0153,95.1454,97.5697,95.1589,98.1518,96.6981,98.1263,97.5796,98.141,Excellent,0,0,0,0,0,0,0,0,None,0,0,0,0.0543,-0.0369
2026-09-01 10:04:00,28.8103,2.4014,22.6885,35.4124,0.1265,0.0282,37.62,2.0143,0.0317,-0.0041,-0.0242,0.011,0.1305,0.0127,52.9886,59.8471,0.1712,0.07,0.1028,0.0286,0.0399,-0.0045,0.0249,96.6682,97.1237,94.7702,97.2037,95.3581,92.047,98.1244,96.2639,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0417,0.1314,-0.0813
2026-09-01 10:05:00,31.2958,2.544,24.9886,38.1119,0.1333,0.0055,35.9467,1.5575,-0.0426,0.0213,-0.0103,-0.0023,0.0695,0.025,46.4053,50.7972,0.1047,-0.0007,0.0632,0.0097,-0.0042,0.0509,0.0213,96.0938,97.8042,98.4472,95.6991,97.2026,94.5485,100,95.5027,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0554,0.0505,-0.0724
2026-09-01 10:06:00,32.256,2.9713,25.3933,39.7129,0.0564,0.0104,35.6198,1.5458,0.0622,0.0157,-0.0249,-0.0268,0.1312,0.0199,56.4568,62.225,0.2197,0.1451,0.0201,0,0.0213,0.06,0.0288,97.7303,95.9256,93.3159,94.735,96.9576,91.3701,93.1948,94.6504,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0745,0.1326,-0.0592
2026-09-01 10:07:00,28.9381,2.2811,22.9727,35.3597,0.1034,0.0091,36.0324,1.5671,-0.0095,0.0015,-0.0835,0.0243,-0.0531,0.0128,50.7463,57.2608,0.1454,0.07,0.0272,0.0016,0.0037,0.0943,0.0302,97.3549,100,96.5283,97.3003,96.65,93.0941,100,98.3237,Excellent,0,0,0,0,0,0,0,0,None,0,0,0,0.0542,-0.0414
2026-09-01 10:08:00,28.9891,2.9358,22.1725,36.3927,0.0678,0.0317,32.3028,1.4067,0.013,-0.0061,-0.1297,0.0192,0.0579,0.0341,52.3931,56.3337,0.2412,0.0481,0.0193,0.0045,0.0112,-0.051,0.0186,96.7392,96.204,95.2377,96.6201,98.4224,92.6221,95.8518,95.4416,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0445,0.0373,-0.0946
2026-09-01 10:09:00,34.9945,2.3181,28.981,41.4716,0.1065,-0.0084,37.9316,1.6458,0.0623,0.0249,-0.0627,0.0509,0.0606,-0.0114,50.5926,54.8403,0.1332,0.0538,0.0645,0,-0.0173,0.063,0.0344,99.5886,99.7351,93.6073,97.6543,93.459,96.2129,97.3065,95.8338,Excellent,0,0,0,0,0,0,0,0,None,0,0,0.0718,0.0783,-0.2233
