timestamp,sample_id,condition_label,cpu_mean,cpu_std,cpu_min,cpu_max,cpu_trend,cpu_growth_rate,memory_mean,memory_std,memory_trend,memory_growth_rate,heap_trend,heap_growth_rate,stack_trend,stack_growth_rate,latency_mean,latency_max,latency_trend,latency_growth_rate,task_delay_trend,deadline_miss_rate,deadline_trend,queue_trend,queue_growth_rate,cpu_health_score,memory_health_score,stack_health_score,task_health_score,timing_health_score,ai_health_score,resource_health_score,overall_health_score,cpu_overload_flag,memory_leak_flag,heap_exhaustion_flag,stack_risk_flag,deadline_miss_flag,task_starvation_flag,ai_latency_flag,queue_overflow_flag,fault_count,degradation_index,degradation_rate,health_change_rate,fault_severity
2026-09-16T00:00:00.000,1,NORMAL,21.1001,2.7121,17.3898,25.4865,0.0,0.0,27.4123,1.9809,0.0,0.0,0.0,0.0,0.0,0.0,34.7514,40.542,0.0,0.0,0.0,0.0709,0.0,0.0,0.0,84.598,82.5462,86.7874,91.828,94.9035,93.8577,84.2471,88.9441,0,0,0,0,0,0,0,0,0,8.4425,0.0,0.0,0
2026-09-16T00:00:01.000,2,NORMAL,16.952,1.9145,13.8429,19.0394,-4.1482,-0.1966,21.4985,1.7542,-5.9138,-0.2157,0.4998,0.0202,9.8728,0.6725,33.2807,38.4813,-1.4707,-0.0423,2.6484,0.0651,-0.0059,0.4911,0.0261,87.9961,86.0708,77.9019,91.6967,95.9188,95.6882,83.6459,89.6073,0,0,0,0,0,0,0,0,0,3.8657,-4.5768,0.6632,0
2026-09-16T00:00:02.000,3,NORMAL,27.8741,2.6466,24.5289,31.348,10.9221,0.6443,27.3942,2.3666,5.8957,0.2742,0.7414,0.0293,-4.1509,-0.169,37.181,47.5721,3.9003,0.1172,-7.4434,0.0179,-0.0471,-0.7411,-0.0384,80.964,82.0933,81.6377,97.7978,95.4227,92.6568,81.9942,88.5178,0,0,0,0,0,0,0,0,0,11.4452,7.5795,-1.0895,0
2026-09-16T00:00:03.000,4,NORMAL,19.8769,2.3339,15.7975,22.7263,-7.9972,-0.2869,25.819,0.3052,-1.5751,-0.0575,-5.7174,-0.2196,-3.8397,-0.1882,43.518,50.2198,6.337,0.1704,6.5072,0.0556,0.0377,-4.8992,-0.2637,85.8002,85.4333,85.0935,92.7816,90.6192,91.9397,86.0045,88.633,0,0,0,0,0,0,0,0,0,9.282,-2.1632,0.1152,0
2026-09-16T00:00:04.000,5,NORMAL,28.635,3.8533,22.1719,34.5059,8.7581,0.4406,19.1814,2.0615,-6.6377,-0.2571,2.7627,0.136,-3.2863,-0.1984,36.2887,47.3747,-7.2292,-0.1661,0.1884,0.1245,0.0689,6.5205,0.4767,78.8562,86.9764,88.0512,86.5359,92.1847,96.3121,83.9266,87.6465,0,0,0,0,0,0,0,0,0,9.0391,-0.2429,-0.9864,0
2026-09-16T00:00:05.000,6,NORMAL,23.1482,2.1139,20.8004,25.8431,-5.4868,-0.1916,27.4129,1.8489,8.2315,0.4291,2.1105,0.0915,-0.6293,-0.0474,40.2853,48.2112,3.9966,0.1101,-1.6658,0.0635,-0.0609,1.9119,0.0947,84.3091,82.7043,88.6176,92.4364,92.1193,91.9877,83.9332,88.481,0,0,0,0,0,0,0,0,0,9.4368,0.3978,0.8345,0
2026-09-16T00:00:06.000,7,NORMAL,21.1978,1.3247,19.5369,23.0618,-1.9503,-0.0843,21.8977,1.6892,-5.5151,-0.2012,1.8816,0.0747,5.9985,0.4743,35.3836,46.3614,-4.9017,-0.1217,-0.0825,0.0793,0.0158,-9.2301,-0.4175,86.4866,85.9292,83.2189,91.0383,94.2635,95.1404,86.0109,89.4248,0,0,0,0,0,0,0,0,0,8.6139,-0.8229,0.9438,0
2026-09-16T00:00:07.000,8,NORMAL,18.7166,2.0661,15.1536,21.8181,-2.4812,-0.117,25.6026,1.4763,3.7048,0.1692,-0.237,-0.0088,-4.5931,-0.2463,39.115,50.2814,3.7314,0.1055,2.1838,0.1112,0.0319,-4.8005,-0.3727,86.8133,84.147,87.3527,87.6201,91.0943,92.6266,87.7606,88.1278,0,0,0,0,0,0,0,0,0,5.5604,-3.0536,-1.297,0
2026-09-16T00:00:08.000,9,NORMAL,25.2378,2.7998,21.8145,29.9769,6.5212,0.3484,24.4751,1.9054,-1.1274,-0.044,-1.7488,-0.0652,0.8111,0.0577,41.4922,47.0802,2.3772,0.0608,-4.5508,0.0844,-0.0268,6.5658,0.8127,82.1995,84.2521,86.6227,91.1683,90.7243,95.3884,84.9736,88.095,0,0,0,0,0,0,0,0,0,7.7329,2.1725,-0.0327,0
2026-09-16T00:00:09.000,10,NORMAL,13.145,1.4621,11.3113,15.6842,-12.0929,-0.4791,26.197,1.8087,1.7218,0.0703,-2.3948,-0.0955,1.2337,0.083,32.3603,39.4563,-9.1319,-0.2201,-2.611,0.0216,-0.0629,1.9578,0.1337,90.7234,83.4213,85.5124,97.4778,97.9466,97.7035,86.1788,92.2769,0,0,0,0,0,0,0,0,0,5.6393,-2.0936,4.1818,0
